Candidate_Name,Roster_Number,Candidate_Type,Initial_Team
Officer Smith,1001,OF,Team 1
Candidate Johnson,1002,ADE,Team 1
Candidate Williams,1003,ADE,Team 1
Candidate Brown,1004,ADE,Team 1
Candidate Jones,1005,ADE,Team 1
Candidate Garcia,1006,ADE,Team 1
Candidate Miller,1007,ADE,Team 1
Candidate Davis,1008,ADE,Team 1
Candidate Rodriguez,1009,ADE,Team 1
Officer Martinez,1010,OF,Team 1
Candidate Hernandez,1011,ADE,Team 1
Candidate Lopez,1012,ADE,Team 1
Candidate Gonzalez,1013,ADE,Team 1
Candidate Wilson,1014,ADE,Team 1
Candidate Anderson,1015,ADE,Team 1
Candidate Thomas,1016,ADE,Team 1
Candidate Taylor,1017,ADE,Team 1
Candidate Moore,1018,ADE,Team 1
Officer Lee,1019,OF,Team 2
Candidate Perez,1020,ADE,Team 2
Candidate Thompson,1021,ADE,Team 2
Candidate White,1022,ADE,Team 2
Candidate Harris,1023,ADE,Team 2
Candidate Sanchez,1024,ADE,Team 2
Candidate Clark,1025,ADE,Team 2
Candidate Ramirez,1026,ADE,Team 2
Candidate Lewis,1027,ADE,Team 2
Officer Robinson,1028,OF,Team 2
Candidate Walker,1029,ADE,Team 2
Candidate Young,1030,ADE,Team 2
Candidate Allen,1031,ADE,Team 2
Candidate King,1032,ADE,Team 2
Candidate Wright,1033,ADE,Team 2
Candidate Hill,1034,ADE,Team 2
Candidate Flores,1035,ADE,Team 2
Officer Green,1036,OF,Team 3
Candidate Adams,1037,ADE,Team 3
Candidate Nelson,1038,ADE,Team 3
Candidate Baker,1039,ADE,Team 3
Candidate Hall,1040,ADE,Team 3
Candidate Rivera,1041,ADE,Team 3
Candidate Mitchell,1042,ADE,Team 3
Candidate Carter,1043,ADE,Team 3
Officer Roberts,1044,OF,Team 3
Candidate Phillips,1045,ADE,Team 3
Candidate Evans,1046,ADE,Team 3
Candidate Turner,1047,ADE,Team 3
Candidate Torres,1048,ADE,Team 3
